"eeg0","eeg1","eeg2","eeg3"
-626.46484375,-1000.0,-750.0,-473.6328125
-972.65625,149.4140625,-678.7109375,-963.37890625
515.13671875,470.703125,-591.796875,927.734375
-990.234375,-927.734375,-634.765625,-590.8203125
-1000.0,-1000.0,-723.14453125,-1000.0
245.1171875,-152.34375,-686.5234375,487.79296875
-949.21875,792.96875,-552.24609375,-786.62109375
-424.31640625,-529.296875,-573.2421875,48.33984375
-1000.0,-1000.0,-648.92578125,-1000.0
-210.44921875,-508.30078125,-658.203125,-81.54296875
-837.40234375,887.20703125,-605.46875,-763.18359375
180.17578125,18.06640625,-596.6796875,208.984375
-1000.0,-1000.0,-676.26953125,-1000.0
-323.73046875,-934.08203125,-776.3671875,-282.2265625
-820.3125,515.13671875,-662.59765625,-793.9453125
207.03125,305.17578125,-604.00390625,488.28125
-1000.0,-1000.0,-654.296875,-941.40625
-569.3359375,-1000.0,-707.51953125,-298.33984375
861.81640625,52.734375,-665.0390625,933.59375
623.53515625,534.1796875,-603.515625,-949.70703125
-919.43359375,-861.81640625,-629.8828125,-331.54296875
-1000.0,-1000.0,-726.07421875,-1000.0
85.9375,-229.98046875,-721.6796875,262.6953125
-867.1875,833.984375,-583.0078125,-760.7421875
-236.81640625,-422.36328125,-591.30859375,167.96875
-1000.0,-1000.0,-695.80078125,-1000.0
-217.7734375,-647.4609375,-754.39453125,-227.05078125
-832.51953125,779.296875,-632.8125,-785.15625
244.62890625,85.44921875,-452.1484375,228.02734375
-1000.0,-1000.0,-521.97265625,-1000.0
-445.80078125,-1000.0,-757.32421875,-269.53125
-875.0,349.609375,-654.78515625,-838.37890625
326.171875,371.58203125,-596.19140625,661.62109375
-1000.0,-1000.0,-663.57421875,-965.33203125
-908.69140625,-1000.0,-762.20703125,-743.1640625
661.1328125,-18.5546875,-713.37890625,815.4296875
821.77734375,667.48046875,-595.21484375,-864.74609375
-742.1875,-728.02734375,-610.83984375,-177.734375
-1000.0,-1000.0,-710.44921875,-1000.0
-21.97265625,-293.45703125,-749.51171875,112.3046875
-828.125,929.6875,-616.2109375,-754.8828125
-50.78125,-222.65625,-561.5234375,194.3359375
-1000.0,-1000.0,-657.71484375,-1000.0
-229.98046875,-740.72265625,-763.671875,-272.4609375
-825.1953125,741.2109375,-642.08984375,-796.38671875
245.60546875,196.2890625,-591.796875,348.6328125
-1000.0,-1000.0,-676.7578125,-1000.0
-541.015625,-1000.0,-676.7578125,-357.421875
-921.875,234.375,-582.51953125,-896.484375
471.6796875,465.33203125,-595.703125,821.77734375
-1000.0,-964.84375,-642.08984375,-751.46484375
-1000.0,-1000.0,-751.46484375,-898.92578125
479.00390625,-77.1484375,-699.70703125,648.92578125
-997.55859375,802.734375,-554.6875,-818.359375
-496.09375,-557.12890625,-570.80078125,-52.734375
-1000.0,-1000.0,-665.52734375,-1000.0
-134.27734375,-378.41796875,-735.83984375,-3.41796875
-825.68359375,970.703125,-623.53515625,-758.7890625
84.47265625,-53.7109375,-597.65625,203.125
-1000.0,-1000.0,-697.75390625,-1000.0
-241.69921875,-859.375,-774.90234375,-275.390625
-820.3125,612.3046875,-657.71484375,-809.08203125
243.1640625,254.39453125,-593.26171875,486.328125
-1000.0,-1000.0,-662.109375,-1000.0
-668.9453125,-1000.0,-740.72265625,-502.44140625
998.046875,191.40625,-669.43359375,-984.86328125
537.59765625,461.9140625,-480.95703125,974.609375
-982.91015625,-935.05859375,-492.1875,-517.08984375
-1000.0,-1000.0,-738.28125,-1000.0
191.89453125,-172.36328125,-735.83984375,458.0078125
-892.08984375,838.8671875,-617.1875,-781.25
-314.453125,-460.44921875,-616.2109375,72.265625
-1000.0,-1000.0,-719.7265625,-1000.0
-214.35546875,-512.20703125,-764.6484375,-124.0234375
-832.03125,907.2265625,-631.8359375,-769.53125
210.9375,48.828125,-601.07421875,213.37890625
-1000.0,-1000.0,-674.31640625,-1000.0
-341.30859375,-959.9609375,-736.328125,-274.4140625
-840.33203125,479.4921875,-626.953125,-823.2421875
246.58203125,322.265625,-568.359375,587.890625
-1000.0,-1000.0,-649.4140625,-1000.0
-787.109375,-1000.0,-752.9296875,-622.55859375
708.984375,-44.921875,-692.3828125,926.7578125
554.19921875,450.1953125,-565.4296875,-915.0390625
390.625,429.19921875,-589.35546875,-307.12890625
-1000.0,-1000.0,-653.80859375,-1000.0
-940.91796875,-1000.0,-730.46875,270.01953125
612.79296875,-29.78515625,-689.453125,-759.765625
889.6484375,720.703125,-597.65625,186.03515625
-654.78515625,-670.41015625,-587.890625,-1000.0
-1000.0,-1000.0,-709.47265625,-256.34765625
-56.640625,-321.2890625,-766.11328125,-791.9921875
-827.63671875,940.4296875,-589.35546875,282.2265625
-17.08984375,-175.78125,-484.86328125,-1000.0
-1000.0,-1000.0,-648.4375,-325.68359375
-232.421875,-759.765625,-808.59375,-866.69921875
-824.21875,729.00390625,-592.28515625,-801.7578125
245.1171875,207.03125,-428.7109375,408.203125
-1000.0,-1000.0,-632.8125,-1000.0
-561.5234375,-1000.0,-801.26953125,-455.56640625
-933.10546875,223.6328125,-620.1171875,-900.87890625
490.72265625,458.49609375,-437.01171875,774.90234375
-1000.0,-968.26171875,-581.54296875,-862.3046875
-1000.0,-1000.0,-762.20703125,-923.33984375
369.62890625,-111.81640625,-660.15625,601.5625
-972.16796875,812.01171875,-538.0859375,-813.4765625
-458.49609375,-531.25,-632.32421875,-28.80859375
-1000.0,-1000.0,-730.46875,-1000.0
-185.546875,-444.3359375,-689.94140625,-25.390625
-836.42578125,928.7109375,-552.734375,-760.25390625
111.328125,-23.92578125,-624.51171875,204.58984375
-1000.0,-1000.0,-706.0546875,-1000.0
-265.625,-907.71484375,-699.21875,-275.87890625
-826.171875,549.8046875,-585.9375,-812.5
242.1875,272.94921875,-603.515625,520.5078125
