"eeg0","eeg1","eeg2","eeg3"
-261.71875,-266.6015625,-811.5234375,-358.3984375
-802.734375,-807.12890625,246.58203125,-875.48828125
236.81640625,346.19140625,72.75390625,709.9609375
-1000.0,-1000.0,-1000.0,-892.578125
-409.1796875,-597.65625,-975.09765625,-874.0234375
-876.953125,997.0703125,1.46484375,670.41015625
622.0703125,796.875,444.82421875,-843.26171875
-980.95703125,-747.0703125,-581.54296875,-158.69140625
-914.0625,-1000.0,-1000.0,-1000.0
602.5390625,289.55078125,-293.45703125,14.6484375
-853.02734375,-808.10546875,459.9609375,-764.6484375
-218.26171875,-77.63671875,-317.87109375,203.61328125
-1000.0,-1000.0,-1000.0,-1000.0
-18.06640625,-200.1953125,-579.58984375,-272.4609375
-774.4140625,-807.12890625,467.7734375,-804.19921875
207.51953125,232.91015625,31.73828125,387.6953125
-1000.0,-1000.0,-1000.0,-1000.0
-269.53125,-330.56640625,-885.7421875,-507.8125
-805.17578125,-832.03125,215.8203125,-956.54296875
324.21875,423.828125,218.26171875,837.40234375
-1000.0,-1000.0,-905.2734375,-717.28515625
-554.6875,-759.27734375,-1000.0,-1000.0
-967.7734375,822.265625,-22.4609375,457.51953125
